"","name","ses.mean","ses.sd","race.mean","race.sd","N"
"136","Winston",67.2857142857143,23.2057737752469,30.3703703703704,30.5515304264125,28
"137","Dwight",53.7894736842105,23.7664070751798,50.2083333333333,26.6115031790629,19
"138","Byron",59.45,18.9110800159172,39.1,27.3513205685229,20
"139","Elson",67.2608695652174,17.9195611535762,30,22.0777845679446,23
"140","Amari",44.75,19.9232078372514,69.5909090909091,22.6624486780793,20
"141","Darrel",43.2222222222222,25.0212981173464,63.5,29.563490998189,18
"142","Trey",47.2,22.5822473358353,64.9411764705882,27.983697826208,20
"143","Colby",64.3529411764706,20.0029409602394,28.8421052631579,25.08488513006,17
"144","Billy",44.6666666666667,31.5689165355428,25.46,21.2441684675478,39
"145","Kayla",57.2631578947368,16.9859786541506,41.1538461538462,27.1065523847323,38
"146","Jordan",56.7179487179487,21.0762384514044,56.3478260869565,28.5417568495349,39
