"uuid","ticker","CoinName","searchterm"
"b4b376b2-8762-41a7-8f2c-c4f38154954b","BNB","Binance Coin","Binance Coin"
"3a30f509-18c3-49a2-a180-15d08240f4b8","XZC","ZCoin","ZCoin"
"d7f14f26-3c8e-45c9-812a-439f8bf6bdcf","SMART","SmartCash","SmartCash"
"5caa77d9-fb09-4f19-b47c-5a7678020e9e","DGD","Digix DAO","Digix DAO"
"74fdeb23-61c5-4773-9136-31b3e2edcdb4","LTC","Litecoin","Litecoin"
"e0529029-6ea3-4d0f-8a23-49f83aba21f6","WAN","Wanchain","Wanchain"
"7a5f33b8-3a46-4132-ae6a-e7fd97a9c1de","ARK","Ark","Ark coin"
"7a5f33b8-3a46-4132-ae6a-e7fd97a9c1de","ARK","Ark","Ark price"
"7a5f33b8-3a46-4132-ae6a-e7fd97a9c1de","ARK","Ark","Ark crypto"
"42245a67-3d1a-4cdd-b1c5-26bea02b952f","REP","Augur","Augur coin"
"42245a67-3d1a-4cdd-b1c5-26bea02b952f","REP","Augur","Augur price"
"42245a67-3d1a-4cdd-b1c5-26bea02b952f","REP","Augur","Augur crypto"
"27c21a96-b821-43eb-ab08-d2ebe9b551a6","DASH","Dash","Dash coin"
"27c21a96-b821-43eb-ab08-d2ebe9b551a6","DASH","Dash","Dash price"
"27c21a96-b821-43eb-ab08-d2ebe9b551a6","DASH","Dash","Dash crypto"
"a6a8007c-8d95-4e0d-a205-cbb477036932","DENT","Dent","Dent coin"
"a6a8007c-8d95-4e0d-a205-cbb477036932","DENT","Dent","Dent price"
"a6a8007c-8d95-4e0d-a205-cbb477036932","DENT","Dent","Dent crypto"
"9937563f-05ba-43e0-902d-9a4614d650f9","ENG","Enigma","Enigma coin"
"9937563f-05ba-43e0-902d-9a4614d650f9","ENG","Enigma","Enigma price"
"9937563f-05ba-43e0-902d-9a4614d650f9","ENG","Enigma","Enigma crypto"
"993acf7c-5fe2-4336-9dad-7bc8a294a011","EOS","EOS","EOS coin"
"993acf7c-5fe2-4336-9dad-7bc8a294a011","EOS","EOS","EOS price"
"993acf7c-5fe2-4336-9dad-7bc8a294a011","EOS","EOS","EOS crypto"
"4f7db3f8-d1b9-47eb-b248-50dc6613ee40","ETHOS","Ethos","Ethos coin"
"4f7db3f8-d1b9-47eb-b248-50dc6613ee40","ETHOS","Ethos","Ethos price"
"4f7db3f8-d1b9-47eb-b248-50dc6613ee40","ETHOS","Ethos","Ethos crypto"
"8a1d00e6-9510-4c44-b9d9-010b18f205e0","FUN","FunFair","FunFair coin"
"8a1d00e6-9510-4c44-b9d9-010b18f205e0","FUN","FunFair","FunFair price"
"8a1d00e6-9510-4c44-b9d9-010b18f205e0","FUN","FunFair","FunFair crypto"
"887a7cc7-5014-4090-b834-295273fb0060","GAME","GameCredits","GameCredits coin"
"887a7cc7-5014-4090-b834-295273fb0060","GAME","GameCredits","GameCredits price"
"887a7cc7-5014-4090-b834-295273fb0060","GAME","GameCredits","GameCredits crypto"
"4a4fcc59-b24e-478f-a661-f42dbda7680b","GAS","Gas","Gas coin"
"4a4fcc59-b24e-478f-a661-f42dbda7680b","GAS","Gas","Gas price"
"4a4fcc59-b24e-478f-a661-f42dbda7680b","GAS","Gas","Gas crypto"
"361e751b-f94e-48f8-9cf4-ae2ea9f781b4","GNT","Golem","Golem coin"
"361e751b-f94e-48f8-9cf4-ae2ea9f781b4","GNT","Golem","Golem price"
"361e751b-f94e-48f8-9cf4-ae2ea9f781b4","GNT","Golem","Golem crypto"
"76259765-8b26-4ec3-96ff-5465e33030bd","ICX","ICON","ICON coin"
"76259765-8b26-4ec3-96ff-5465e33030bd","ICX","ICON","ICON price"
"76259765-8b26-4ec3-96ff-5465e33030bd","ICX","ICON","ICON crypto"
"def1c461-4aa4-41ff-9169-ac89c832245e","MIOTA","IOTA","IOTA coin"
"def1c461-4aa4-41ff-9169-ac89c832245e","MIOTA","IOTA","IOTA price"
"def1c461-4aa4-41ff-9169-ac89c832245e","MIOTA","IOTA","IOTA crypto"
"b6e7e922-b8df-4ff0-807f-4f2a8e2d8dd8","KIN","Kin","Kin coin"
"b6e7e922-b8df-4ff0-807f-4f2a8e2d8dd8","KIN","Kin","Kin price"
"b6e7e922-b8df-4ff0-807f-4f2a8e2d8dd8","KIN","Kin","Kin crypto"
"c1f28fe6-63aa-4a82-879a-4f8c5fc88815","KMD","Komodo","Komodo coin"
"c1f28fe6-63aa-4a82-879a-4f8c5fc88815","KMD","Komodo","Komodo price"
"c1f28fe6-63aa-4a82-879a-4f8c5fc88815","KMD","Komodo","Komodo crypto"
"ce2405e0-e949-4350-8c5e-86c758ca032c","LSK","Lisk","Lisk coin"
"ce2405e0-e949-4350-8c5e-86c758ca032c","LSK","Lisk","Lisk price"
"ce2405e0-e949-4350-8c5e-86c758ca032c","LSK","Lisk","Lisk crypto"
"c705d985-d941-4c22-a39c-5a09ddbc1d2f","MKR","Maker","Maker coin"
"c705d985-d941-4c22-a39c-5a09ddbc1d2f","MKR","Maker","Maker price"
"c705d985-d941-4c22-a39c-5a09ddbc1d2f","MKR","Maker","Maker crypto"
"c93e7549-ea6e-4064-ad36-cd6343eb1cda","NANO","Nano","Nano coin"
"c93e7549-ea6e-4064-ad36-cd6343eb1cda","NANO","Nano","Nano price"
"c93e7549-ea6e-4064-ad36-cd6343eb1cda","NANO","Nano","Nano crypto"
"b6569f35-0f53-47a1-9691-4e8ede56b5ec","NAS","Nebulas","Nebulas coin"
"b6569f35-0f53-47a1-9691-4e8ede56b5ec","NAS","Nebulas","Nebulas price"
"b6569f35-0f53-47a1-9691-4e8ede56b5ec","NAS","Nebulas","Nebulas crypto"
"5a915fd9-9349-4986-b28d-9b01252456ff","XEM","NEM","NEM coin"
"5a915fd9-9349-4986-b28d-9b01252456ff","XEM","NEM","NEM price"
"5a915fd9-9349-4986-b28d-9b01252456ff","XEM","NEM","NEM crypto"
"19022bea-654a-4c32-af0e-77d709d18f2a","NEO","NEO","NEO coin"
"19022bea-654a-4c32-af0e-77d709d18f2a","NEO","NEO","NEO price"
"19022bea-654a-4c32-af0e-77d709d18f2a","NEO","NEO","NEO crypto"
"7b307014-e5f8-4333-8379-ea6098be2db8","NXS","Nexus","Nexus coin"
"7b307014-e5f8-4333-8379-ea6098be2db8","NXS","Nexus","Nexus price"
"7b307014-e5f8-4333-8379-ea6098be2db8","NXS","Nexus","Nexus crypto"
"5c08a740-1b91-426d-b34a-b0c5f295059d","NXT","Nxt","Nxt coin"
"5c08a740-1b91-426d-b34a-b0c5f295059d","NXT","Nxt","Nxt price"
"5c08a740-1b91-426d-b34a-b0c5f295059d","NXT","Nxt","Nxt crypto"
"494caed7-247c-498c-9449-45e9390ee30e","ONT","Ontology","Ontology coin"
"494caed7-247c-498c-9449-45e9390ee30e","ONT","Ontology","Ontology price"
"494caed7-247c-498c-9449-45e9390ee30e","ONT","Ontology","Ontology crypto"
"b0aa4c1f-857a-48c4-876d-0bbc2a33cbbe","PLR","Pillar","Pillar coin"
"b0aa4c1f-857a-48c4-876d-0bbc2a33cbbe","PLR","Pillar","Pillar price"
"b0aa4c1f-857a-48c4-876d-0bbc2a33cbbe","PLR","Pillar","Pillar crypto"
"4aefe702-8756-4a9b-9418-cf6b7371f8b7","PPT","Populous","Populous coin"
"4aefe702-8756-4a9b-9418-cf6b7371f8b7","PPT","Populous","Populous price"
"4aefe702-8756-4a9b-9418-cf6b7371f8b7","PPT","Populous","Populous crypto"
"5fcc6fd0-4936-4523-8f14-bb1b73a0f84f","SALT","SALT","SALT coin"
"5fcc6fd0-4936-4523-8f14-bb1b73a0f84f","SALT","SALT","SALT price"
"5fcc6fd0-4936-4523-8f14-bb1b73a0f84f","SALT","SALT","SALT crypto"
"567f3a0e-0acb-4ac2-ace7-2f9301cc3378","SNT","Status","Status coin"
"567f3a0e-0acb-4ac2-ace7-2f9301cc3378","SNT","Status","Status price"
"567f3a0e-0acb-4ac2-ace7-2f9301cc3378","SNT","Status","Status crypto"
"ae5ff0e9-e0be-4759-8744-eb7c76fa11a8","XLM","Stellar","Stellar coin"
"ae5ff0e9-e0be-4759-8744-eb7c76fa11a8","XLM","Stellar","Stellar price"
"ae5ff0e9-e0be-4759-8744-eb7c76fa11a8","XLM","Stellar","Stellar crypto"
"82f873b9-6459-4de7-a00d-e2a75aa1d400","STORM","Storm","Storm coin"
"82f873b9-6459-4de7-a00d-e2a75aa1d400","STORM","Storm","Storm price"
"82f873b9-6459-4de7-a00d-e2a75aa1d400","STORM","Storm","Storm crypto"
"33d79456-35ba-4bae-8031-ae2f106572ae","TRX","TRON","TRON coin"
"33d79456-35ba-4bae-8031-ae2f106572ae","TRX","TRON","TRON price"
"33d79456-35ba-4bae-8031-ae2f106572ae","TRX","TRON","TRON crypto"
"a2b0cc34-b140-480b-97a0-42bfabd0d766","XVG","Verge","Verge coin"
"a2b0cc34-b140-480b-97a0-42bfabd0d766","XVG","Verge","Verge price"
"a2b0cc34-b140-480b-97a0-42bfabd0d766","XVG","Verge","Verge crypto"
"d4ca3535-9b00-40e7-a98a-639591dcd7c3","WTC","Walton","Walton coin"
"d4ca3535-9b00-40e7-a98a-639591dcd7c3","WTC","Walton","Walton price"
"d4ca3535-9b00-40e7-a98a-639591dcd7c3","WTC","Walton","Walton crypto"
"69749b55-7c68-4f5c-9afd-1db1dff473e2","WAVES","Waves","Waves coin"
"69749b55-7c68-4f5c-9afd-1db1dff473e2","WAVES","Waves","Waves price"
"69749b55-7c68-4f5c-9afd-1db1dff473e2","WAVES","Waves","Waves crypto"
